"Time","camera_rel_pose_dphi","camera_rel_pose_dx","camera_rel_pose_dy","fusion_rel_pose_dphi","fusion_rel_pose_dx","fusion_rel_pose_dy","groundtruth_follow_longi_velocity","groundtruth_lead_longi_velocity","groundtruth_rel_pose_dphi","groundtruth_rel_pose_dx","groundtruth_rel_pose_dy","lidar_rel_pose_dphi","lidar_rel_pose_dx","lidar_rel_pose_dy"
0.981,-0.001819930342,3.128728332,0.005598101969,-0.002510448686,3.16749551,0.005991171579,4.500034634e-07,4.500034917e-07,1.959765683e-12,3.11,1.375414493e-06,-0.009042470802,3.172990924,0.006232427383
0.991,-0.001819930342,3.128728332,0.005598101969,-0.002510437982,3.167495997,0.005991126033,4.422594289e-07,4.422594575e-07,1.957101148e-12,3.11,1.395840471e-06,-0.009042470802,3.172990924,0.006232427383
1.001,-0.001819930342,3.128728332,0.005598101969,-0.00251044066,3.167496364,0.005991161908,2.144930734e-05,2.144930737e-05,1.954436613e-12,3.11,1.409569961e-06,-0.009042470802,3.172990924,0.006232427383
1.011,-0.001819930342,3.128728332,0.005598101969,-0.002510437731,3.167496701,0.005991155892,2.66331389e-05,2.663313893e-05,1.951994122e-12,3.11,1.427041131e-06,-0.009042470802,3.172990924,0.006232427383
1.021,-0.001819930342,3.128728332,0.005598101969,-0.002510438526,3.167496754,0.005991178664,2.586952197e-05,2.5869522e-05,1.949107542e-12,3.11,1.439478168e-06,-0.009042470802,3.172990924,0.006232427383
1.031,-0.001819930342,3.128728332,0.005598101969,-0.00291676877,3.167836478,0.006004356654,2.408530289e-05,2.408530291e-05,1.946220962e-12,3.11,1.447174612e-06,-0.009057552445,3.173000811,0.006235804989
1.041,-0.001819930342,3.128728332,0.005598101969,-0.002916777259,3.167836705,0.006004417982,2.234088436e-05,2.234088438e-05,1.942890293e-12,3.11,1.456031769e-06,-0.009057552445,3.173000811,0.006235804989
1.051,-0.001819930342,3.128728332,0.005598101969,-0.002916766611,3.167837279,0.006004357005,2.065079126e-05,2.065079129e-05,1.939337579e-12,3.11,1.459001469e-06,-0.009057552445,3.173000811,0.006235804989
1.061,-0.001819930342,3.128728332,0.005598101969,-0.002916769016,3.167837693,0.006004372635,1.91165548e-05,1.911655483e-05,1.936451e-12,3.11,1.461017047e-06,-0.009057552445,3.173000811,0.006235804989
1.071,-0.001819930342,3.128728332,0.005598101969,-0.002916765819,3.167838039,0.006004354436,1.773557458e-05,1.77355746e-05,1.93312033e-12,3.11,1.462127677e-06,-0.009057552445,3.173000811,0.006235804989
1.081,-0.001819930342,3.128728332,0.005598101969,-0.002916766551,3.167838482,0.006004358277,1.643319527e-05,1.643319529e-05,1.929567617e-12,3.11,1.459347399e-06,-0.009057552445,3.173000811,0.006235804989
1.091,-0.001819930342,3.128728332,0.005598101969,-0.003275031597,3.168138662,0.006016144247,1.527591997e-05,1.527591999e-05,1.925570814e-12,3.11,1.456623109e-06,-0.009047523107,3.172993882,0.006233700306
1.101,-0.001819930342,3.128728332,0.005598101969,-0.003275039225,3.168138992,0.006016188748,1.421698919e-05,1.421698922e-05,1.922684234e-12,3.11,1.45211563e-06,-0.009047523107,3.172993882,0.006233700306
