"Time","estimated_follow_longi_velocity","estimated_follow_sideslip_angle","estimated_lead_longi_velocity","estimated_lead_sideslip_angle","groundtruth_follow_longi_velocity","groundtruth_follow_sideslip_angle","groundtruth_lead_longi_velocity","groundtruth_lead_sideslip_angle"
1.771,-4.300042001e-08,0,-4.196765551e-08,0,-1.531167274e-07,0,-1.531167208e-07,0
1.781,-1.078661622e-05,0,-4.196765551e-08,0,-1.874867951e-07,0,-1.874867886e-07,0
1.791,-2.152602247e-05,0,-2.368152634e-05,0,-2.152345729e-07,0,-2.152345662e-07,0
1.801,-3.226110274e-05,0,-2.368152634e-05,0,-2.36491302e-07,0,-2.36491295e-07,0
1.811,-4.295624272e-08,0,-4.081792196e-08,0,-2.51422519e-07,0,-2.602138424e-07,0
1.821,-1.076917074e-05,0,-4.081792196e-08,0,-2.602138503e-07,0,-2.620564851e-07,0
1.831,-2.149087779e-05,0,-2.257244038e-05,0,-2.630707618e-07,0,-2.630707534e-07,0
1.841,-3.220805192e-05,0,-2.257244038e-05,0,-2.602227334e-07,0,-2.602227244e-07,0
1.851,-4.287504193e-08,0,-5.146211598e-08,0,-2.519177879e-07,0,-2.519177785e-07,0
1.861,-1.075099056e-05,0,-5.146211598e-08,0,-2.384170064e-07,0,-2.384169966e-07,0
1.871,-2.1454609e-05,0,-1.82575619e-05,0,-2.199963534e-07,0,-2.199963433e-07,0
1.881,-3.215377948e-05,0,-1.82575619e-05,0,-1.969483734e-07,0,-1.96948363e-07,0
1.891,-4.280625979e-08,0,-3.534650369e-08,0,-1.695777126e-07,0,-1.695777021e-07,0
1.901,-1.073329838e-05,0,-3.534650369e-08,0,-1.382014818e-07,0,-1.382014711e-07,0
1.911,-2.141959882e-05,0,-2.142232626e-05,0,-1.03156484e-07,0,-1.031564733e-07,0
1.921,-3.210170136e-05,0,-2.142232626e-05,0,-6.48040052e-08,0,-6.48039945e-08,0
1.931,-4.273715282e-08,0,-4.381539908e-08,0,-2.349070501e-08,0,-2.349069441e-08,0
1.941,-1.071707979e-05,0,-4.381539908e-08,0,2.043073684e-08,0,2.043074728e-08,0
1.951,-2.138784188e-05,0,-2.353063792e-05,0,6.660481368e-08,0,6.66048239e-08,0
1.961,-3.205519433e-05,0,-2.353063792e-05,0,1.14650583e-07,0,1.14650593e-07,0
1.971,-4.267612815e-08,0,-4.482362238e-08,0,1.641934004e-07,0,1.6419341e-07,0
1.981,-1.070361435e-05,0,-4.482362238e-08,0,2.148806669e-07,0,2.148806762e-07,0
1.991,-2.136180267e-05,0,-2.243463357e-05,0,2.663626847e-07,0,2.663626936e-07,0
2.001,-3.201748578e-05,0,-2.243463357e-05,0,9.087136235e-06,0,9.087136244e-06,0
2.011,0.001227136757,0,-4.476758044e-08,0,0.0002310909879,0,0.0002310909916,0
2.021,0.001906832317,0,-4.476758044e-08,0,0.000704377669,0,0.000704377669,0
2.031,0.002192781952,0,0.001495285472,0,0.001223889944,0,0.001223889942,0
2.041,0.002875915233,0,0.001495285472,0,0.001631743154,0,0.001631743157,0
2.051,0.01959901766,0,0.01580982435,0,0.002289760107,0,0.00228976011,0
2.061,0.01997542949,0,0.01580982435,0,0.002878381905,0,0.002878381904,0
2.071,0.02070303303,0,0.01726238193,0,0.00338437299,0,0.003384372983,0
2.081,0.02155663562,0,0.01726238193,0,0.003946385876,0,0.00394638587,0
2.091,0.01649116152,0,0.01924945797,0,0.004540537795,0,0.004540537795,0
2.101,0.01694017513,0,0.01924945797,0,0.004784154345,0,0.004784154351,0
2.111,0.01717708463,0,0.02037684368,0,0.005103710407,0,0.005103710411,0
2.121,0.01756418219,0,0.02037684368,0,0.005628538837,0,0.005628538841,0
2.131,-0.006867914493,0,-0.01224697086,0,0.006145542128,0,0.006145542133,0
2.141,-0.006459345752,0,-0.01224697086,0,0.006686782066,0,0.00668678207,0
2.151,-0.006033933346,0,-0.01086764781,0,0.007247128007,0,0.007247128011,0
2.161,-0.00559271535,0,-0.01086764781,0,0.007829536224,0,0.007829536229,0
2.171,-0.005235931722,0,-0.006641996408,0,0.008434337374,0,0.009063740326,0
2.181,-0.004754096529,0,-0.006641996408,0,0.009063740322,0,0.009723129696,0
2.191,-0.004246516451,0,-0.00559963699,0,0.009723129692,0,0.009723129696,0
2.201,-0.003708183902,0,-0.00559963699,0,0.01041688358,0,0.01041688358,0
2.211,-0.0007360406853,0,-0.001998965448,0,0.01114968464,0,0.01114968465,0
2.221,-0.000121096391,0,-0.001998965448,0,0.01192651187,0,0.01192651188,0
2.231,0.0005404729786,0,-0.00104235012,0,0.01275264977,0,0.01275264977,0
2.241,0.001254662631,0,-0.00104235012,0,0.01363364994,0,0.01363364995,0
2.251,0.005478693927,0,0.03848017932,0,0.01457536018,0,0.01457536018,0
2.261,0.006317257559,0,0.03848017932,0,0.0155840793,0,0.0155840793,0
2.271,0.007228500058,0,0.04051132672,0,0.01666650212,0,0.01666650212,0
2.281,0.008219746695,0,0.04051132672,0,0.01782915919,0,0.01782915919,0
2.291,-0.0271707764,0,0.05061280074,0,0.01907865719,0,0.01907865719,0
2.301,-0.0259980659,0,0.05061280074,0,0.02042215952,0,0.02042215952,0
2.311,-0.02472285032,0,0.05292287396,0,0.02186722726,0,0.02186722726,0
2.321,-0.02333682703,0,0.05292287396,0,0.0234214051,0,0.02342140511,0
2.331,-0.02154484615,0,0.06744079735,0,0.0250920664,0,0.02509206641,0
2.341,-0.0199133948,0,0.06744079735,0,0.0268869514,0,0.02688695141,0
2.351,-0.01814669599,0,0.07086684519,0,0.02881411364,0,0.02881411364,0
2.361,-0.01623619028,0,0.07086684519,0,0.03088146131,0,0.03088146131,0
2.371,-0.01391382402,0,-0.01753501891,0,0.03309715348,0,0.03309715348,0
2.381,-0.01169014667,0,-0.01753501891,0,0.03546929254,0,0.03546929255,0
2.391,-0.009299887555,0,-0.01285773164,0,0.03796756175,0,0.03796756175,0
2.401,-0.006912092667,0,-0.01285773164,0,0.04033256735,0,0.04033256735,0
2.411,0.02417028055,0,0.07657788611,0,0.04289376366,0,0.04289376367,0
2.421,0.02682475223,0,0.07657788611,0,0.04562367643,0,0.04562367644,0
2.431,0.02972487874,0,0.08185081367,0,0.04855513959,0,0.04855513959,0
2.441,0.033069936,0,0.08185081367,0,0.05171383601,0,0.05171383602,0
2.451,-0.01987003817,0,-0.02549389308,0,0.05506500616,0,0.05506500616,0
2.461,-0.01629596913,0,-0.02549389308,0,0.05864021943,0,0.05864021943,0
2.471,-0.01225756566,0,-0.02010723785,0,0.06246563618,0,0.06246563619,0
2.481,-0.008230488877,0,-0.02010723785,0,0.06635032586,0,0.06635032587,0
2.491,0.004746272467,0,-0.01001723022,0,0.0699592214,0,0.0699592214,0
2.501,0.008636316468,0,-0.01001723022,0,0.07383082596,0,0.07383082597,0
2.511,0.01282880332,0,-0.002289573673,0,0.07796317086,0,0.07796317086,0
2.521,0.01730424201,0,-0.002289573673,0,0.0823527081,0,0.0823527081,0
2.531,0.05803003704,0,0.05004180147,0,0.08692609766,0,0.08692609766,0
2.541,0.06290756582,0,0.05004180147,0,0.09169366002,0,0.09169366002,0
2.551,0.0680251461,0,0.0591674994,0,0.09671500291,0,0.09671500291,0
2.561,0.07342977256,0,0.0591674994,0,0.1020189671,0,0.1020189671,0
2.571,0.07952747798,0,0.07217246012,0,0.1076119916,0,0.1076119916,0
2.581,0.08553339613,0,0.07217246012,0,0.1134965796,0,0.1134965796,0
2.591,0.09184393535,0,0.08598607187,0,0.119676978,0,0.119676978,0
2.601,0.09846327224,0,0.08598607187,0,0.1261576785,0,0.1261576785,0
2.611,0.1052159161,0,0.09631798079,0,0.132942699,0,0.132942699,0
2.621,0.1124652884,0,0.09631798079,0,0.1400354355,0,0.1400354355,0
2.631,0.1200331092,0,0.109849956,0,0.1474385132,0,0.1474385132,0
