"Time","estimated_follow_longi_velocity","follow_velocity_deviation_FL","follow_velocity_deviation_FR","follow_velocity_deviation_RL","follow_velocity_deviation_RR","follow_wheel_rot_rate_change_FL","follow_wheel_rot_rate_change_FR","follow_wheel_rot_rate_change_RL","follow_wheel_rot_rate_change_RR","follow_wheel_speed_CG_FL","follow_wheel_speed_CG_FR","follow_wheel_speed_CG_RL","follow_wheel_speed_CG_RR","groundtruth_follow_longi_velocity","is_follow_wheel_data_valid_FL","is_follow_wheel_data_valid_FR","is_follow_wheel_data_valid_RL","is_follow_wheel_data_valid_RR"
0.481,-3.203298037e-05,4.279576105e-05,4.26960041e-05,4.279554502e-05,4.269660494e-05,9.090909091e-07,9.090909091e-07,9.090909091e-07,9.090909091e-07,4.98785752e-08,-4.987870551e-08,4.947004047e-08,-4.947004047e-08,6.99950003e-07,1,1,1,1
0.491,-4.264878056e-08,4.230633693e-05,4.307641725e-05,4.230968119e-05,4.307345661e-05,8.333333333e-07,8.333333333e-07,8.333333333e-07,8.333333333e-07,-3.850416484e-07,3.850422067e-07,-3.818877125e-07,3.818877125e-07,7.273830752e-07,1,1,1,1
0.501,-1.069949467e-05,4.230633693e-05,4.307641725e-05,4.230968119e-05,4.307345661e-05,8.333333333e-07,8.333333333e-07,8.333333333e-07,8.333333333e-07,-3.850416484e-07,3.850422067e-07,-3.818877125e-07,3.818877125e-07,7.55763164e-07,1,1,1,1
0.511,-2.135498441e-05,4.230633693e-05,4.307641725e-05,4.230968119e-05,4.307345661e-05,8.333333333e-07,8.333333333e-07,8.333333333e-07,8.333333333e-07,-3.850416484e-07,3.850422067e-07,-3.818877125e-07,3.818877125e-07,7.846686716e-07,1,1,1,1
0.521,-3.200948506e-05,4.230633693e-05,4.307641725e-05,4.230968119e-05,4.307345661e-05,8.333333333e-07,8.333333333e-07,8.333333333e-07,8.333333333e-07,-3.850416484e-07,3.850422067e-07,-3.818877125e-07,3.818877125e-07,8.13700258e-07,1,1,1,1
0.531,-4.262064025e-08,4.192585389e-05,4.340045213e-05,4.193208226e-05,4.339460736e-05,7.692307692e-07,7.692307692e-07,7.692307692e-07,7.692307692e-07,-7.373022811e-07,7.373026168e-07,-7.312625495e-07,7.312625495e-07,8.424842299e-07,1,1,1,1
0.541,-1.069616936e-05,4.192585389e-05,4.340045213e-05,4.193208226e-05,4.339460736e-05,7.692307692e-07,7.692307692e-07,7.692307692e-07,7.692307692e-07,-7.373022811e-07,7.373026168e-07,-7.312625495e-07,7.312625495e-07,8.706771607e-07,1,1,1,1
0.551,-2.134971379e-05,4.192585389e-05,4.340045213e-05,4.193208226e-05,4.339460736e-05,7.692307692e-07,7.692307692e-07,7.692307692e-07,7.692307692e-07,-7.373022811e-07,7.373026168e-07,-7.312625495e-07,7.312625495e-07,8.979630568e-07,1,1,1,1
0.561,-3.200354094e-05,4.192585389e-05,4.340045213e-05,4.193208226e-05,4.339460736e-05,7.692307692e-07,7.692307692e-07,7.692307692e-07,7.692307692e-07,-7.373022811e-07,7.373026168e-07,-7.312625495e-07,7.312625495e-07,9.240583135e-07,1,1,1,1
0.571,-4.261538038e-08,4.166788677e-05,4.364755779e-05,4.167618312e-05,4.363964565e-05,7.142857143e-07,7.142857143e-07,7.142857143e-07,7.142857143e-07,-9.898401185e-07,9.89839793e-07,-9.817312671e-07,9.817312671e-07,9.487091002e-07,1,1,1,1
0.581,-1.069777678e-05,4.166788677e-05,4.364755779e-05,4.167618312e-05,4.363964565e-05,7.142857143e-07,7.142857143e-07,7.142857143e-07,7.142857143e-07,-9.898401185e-07,9.89839793e-07,-9.817312671e-07,9.817312671e-07,9.716926073e-07,1,1,1,1
